X,CH1,CH2,
Second,Volt,Volt,
-6.00000e-05,1.60e-01,8.60e+00,
-5.98000e-05,1.60e-01,8.40e+00,
-5.96000e-05,1.60e-01,8.40e+00,
-5.94000e-05,5.84e+00,8.60e+00,
-5.92000e-05,5.60e+00,8.60e+00,
-5.90000e-05,5.52e+00,5.00e+00,
-5.88000e-05,5.52e+00,2.00e+00,
-5.86000e-05,5.60e+00,-7.20e+00,
-5.84000e-05,5.60e+00,-7.60e+00,
-5.82000e-05,5.52e+00,-8.80e+00,
-5.80000e-05,5.52e+00,-8.80e+00,
-5.78000e-05,5.60e+00,-9.20e+00,
-5.76000e-05,5.52e+00,-9.00e+00,
-5.74000e-05,5.52e+00,-9.20e+00,
-5.72000e-05,5.52e+00,-9.00e+00,
-5.70000e-05,5.52e+00,-9.00e+00,
-5.68000e-05,5.52e+00,-9.00e+00,
-5.66000e-05,5.52e+00,-8.80e+00,
-5.64000e-05,5.52e+00,-8.80e+00,
-5.62000e-05,5.44e+00,-9.00e+00,
-5.60000e-05,5.52e+00,-9.00e+00,
-5.58000e-05,5.44e+00,-8.80e+00,
-5.56000e-05,5.52e+00,-8.80e+00,
-5.54000e-05,5.44e+00,-9.00e+00,
-5.52000e-05,5.44e+00,-8.80e+00,
-5.50000e-05,5.52e+00,-9.00e+00,
-5.48000e-05,5.44e+00,-8.80e+00,
-5.46000e-05,5.52e+00,-9.00e+00,
-5.44000e-05,5.44e+00,-8.80e+00,
-5.42000e-05,5.52e+00,-9.00e+00,
-5.40000e-05,5.44e+00,-9.00e+00,
-5.38000e-05,5.52e+00,-8.80e+00,
-5.36000e-05,5.52e+00,-8.80e+00,
-5.34000e-05,5.44e+00,-9.00e+00,
-5.32000e-05,5.52e+00,-9.00e+00,
-5.30000e-05,5.44e+00,-8.80e+00,
-5.28000e-05,5.44e+00,-8.80e+00,
-5.26000e-05,5.52e+00,-9.00e+00,
-5.24000e-05,5.44e+00,-8.80e+00,
-5.22000e-05,5.52e+00,-9.00e+00,
-5.20000e-05,5.52e+00,-8.80e+00,
-5.18000e-05,5.44e+00,-9.00e+00,
-5.16000e-05,5.44e+00,-8.80e+00,
-5.14000e-05,5.44e+00,-9.00e+00,
-5.12000e-05,5.44e+00,-9.00e+00,
-5.10000e-05,5.52e+00,-8.80e+00,
-5.08000e-05,5.44e+00,-8.80e+00,
-5.06000e-05,5.52e+00,-9.00e+00,
-5.04000e-05,5.44e+00,-8.80e+00,
-5.02000e-05,5.52e+00,-9.00e+00,
-5.00000e-05,5.44e+00,-8.80e+00,
-4.98000e-05,5.52e+00,-9.00e+00,
-4.96000e-05,5.44e+00,-8.80e+00,
-4.94000e-05,-7.99e-02,-9.00e+00,
-4.92000e-05,7.99e-02,-7.60e+00,
-4.90000e-05,0.00e+00,8.20e+00,
-4.88000e-05,0.00e+00,8.40e+00,
-4.86000e-05,7.99e-02,8.80e+00,
-4.84000e-05,0.00e+00,8.80e+00,
-4.82000e-05,7.99e-02,8.60e+00,
-4.80000e-05,7.99e-02,8.80e+00,
-4.78000e-05,0.00e+00,8.60e+00,
-4.76000e-05,7.99e-02,8.60e+00,
-4.74000e-05,7.99e-02,8.80e+00,
-4.72000e-05,7.99e-02,8.60e+00,
-4.70000e-05,7.99e-02,8.80e+00,
-4.68000e-05,7.99e-02,8.60e+00,
-4.66000e-05,7.99e-02,8.40e+00,
-4.64000e-05,7.99e-02,8.60e+00,
-4.62000e-05,1.60e-01,8.60e+00,
-4.60000e-05,1.60e-01,8.60e+00,
-4.58000e-05,7.99e-02,8.60e+00,
-4.56000e-05,7.99e-02,8.60e+00,
-4.54000e-05,1.60e-01,8.40e+00,
-4.52000e-05,1.60e-01,8.40e+00,
-4.50000e-05,7.99e-02,8.60e+00,
-4.48000e-05,1.60e-01,8.40e+00,
-4.46000e-05,7.99e-02,8.60e+00,
-4.44000e-05,1.60e-01,8.40e+00,
-4.42000e-05,7.99e-02,8.60e+00,
-4.40000e-05,1.60e-01,8.60e+00,
-4.38000e-05,7.99e-02,8.40e+00,
-4.36000e-05,1.60e-01,8.60e+00,
-4.34000e-05,1.60e-01,8.40e+00,
-4.32000e-05,1.60e-01,8.60e+00,
-4.30000e-05,7.99e-02,8.40e+00,
-4.28000e-05,1.60e-01,8.40e+00,
-4.26000e-05,7.99e-02,8.60e+00,
-4.24000e-05,1.60e-01,8.40e+00,
-4.22000e-05,1.60e-01,8.60e+00,
-4.20000e-05,1.60e-01,8.40e+00,
-4.18000e-05,7.99e-02,8.60e+00,
-4.16000e-05,1.60e-01,8.60e+00,
-4.14000e-05,7.99e-02,8.40e+00,
-4.12000e-05,1.60e-01,8.40e+00,
-4.10000e-05,1.60e-01,8.60e+00,
-4.08000e-05,1.60e-01,8.40e+00,
-4.06000e-05,1.60e-01,8.60e+00,
-4.04000e-05,1.60e-01,8.60e+00,
-4.02000e-05,1.60e-01,8.40e+00,
-4.00000e-05,1.60e-01,8.60e+00,
-3.98000e-05,1.60e-01,8.40e+00,
-3.96000e-05,1.60e-01,8.60e+00,
-3.94000e-05,5.84e+00,8.40e+00,
-3.92000e-05,5.60e+00,8.40e+00,
-3.90000e-05,5.52e+00,-3.00e+00,
-3.88000e-05,5.52e+00,-4.40e+00,
-3.86000e-05,5.60e+00,-8.40e+00,
-3.84000e-05,5.52e+00,-8.40e+00,
