ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.74,5.874,9.524,-0.756,4.822,8.506,-0.956,0.957,0.865,-18.8,-37.8,21.1,0.0,-20.7,20.0,-33.1,37.1,-29.6,6.3,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,11,2017-10-05 18:59:05:065
-0.641,5.488,9.588,-0.739,4.827,8.504,0.108,0.573,0.93,-3.1,-19.7,32.7,0.0,-20.8,20.0,-32.9,37.1,-29.6,6.3,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,21,2017-10-05 18:59:05:075
-0.209,5.15,9.761,-0.673,4.884,8.477,0.467,0.183,1.127,9.7,-1.0,34.3,1.066,-20.7,20.0,-32.7,36.0,-29.5,5.0,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,31,2017-10-05 18:59:05:085
-0.209,5.15,9.761,-0.673,4.884,8.477,0.467,0.183,1.127,9.7,-1.0,34.3,1.066,-20.7,20.0,-32.7,36.0,-29.5,5.0,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,41,2017-10-05 18:59:05:095
-0.177,4.989,9.847,-0.632,4.921,8.459,0.458,-0.013,1.23,19.9,5.7,28.7,1.066,-20.6,20.1,-32.9,36.0,-29.5,5.0,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,51,2017-10-05 18:59:05:105
-0.177,4.989,9.847,-0.632,4.921,8.459,0.458,-0.013,1.23,24.2,6.7,26.6,1.066,-20.6,20.1,-32.9,36.0,-29.5,5.0,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,61,2017-10-05 18:59:05:115
-0.877,5.23,8.913,-0.601,4.977,8.429,-0.262,0.169,0.341,24.2,6.7,26.6,1.066,-20.8,20.4,-32.9,35.3,-30.1,4.3,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,70,2017-10-05 18:59:05:124
-0.877,5.23,8.913,-0.601,4.977,8.429,-0.262,0.169,0.341,21.1,14.1,25.3,1.066,-20.8,20.4,-32.9,35.3,-30.1,4.3,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,81,2017-10-05 18:59:05:135
-0.988,5.314,8.671,-0.587,5.022,8.403,-0.385,0.207,0.129,21.1,14.1,25.3,1.066,-20.8,20.4,-33.3,35.3,-30.1,4.3,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,91,2017-10-05 18:59:05:145
-0.988,5.314,8.671,-0.587,5.022,8.403,-0.385,0.207,0.129,18.3,12.4,26.5,1.066,-20.8,20.4,-33.3,35.3,-30.1,4.3,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,101,2017-10-05 18:59:05:155
-0.988,5.314,8.671,-0.587,5.022,8.403,-0.385,0.207,0.129,18.3,12.4,26.5,1.066,-20.8,20.4,-33.3,35.3,-30.1,4.3,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,111,2017-10-05 18:59:05:165
0.405,4.392,8.256,-0.562,5.08,8.37,0.961,-0.759,-0.246,12.5,-0.8,23.0,1.066,-20.6,20.5,-33.3,34.9,-30.8,4.0,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,121,2017-10-05 18:59:05:175
0.405,4.392,8.256,-0.562,5.08,8.37,0.961,-0.759,-0.246,3.6,-8.7,14.7,1.066,-20.6,20.5,-33.3,34.9,-30.8,4.0,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,132,2017-10-05 18:59:05:186
0.824,4.593,8.396,-0.54,5.117,8.348,1.351,-0.599,-0.087,3.6,-8.7,14.7,1.066,-20.6,21.0,-33.4,34.9,-30.8,4.0,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,141,2017-10-05 18:59:05:195
0.849,4.312,8.677,-0.5,5.117,8.351,1.335,-0.875,0.187,-1.8,-12.0,7.8,1.066,-20.6,21.2,-33.2,33.9,-31.5,3.7,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,151,2017-10-05 18:59:05:205
0.849,4.312,8.677,-0.5,5.117,8.351,1.335,-0.875,0.187,-1.8,-12.0,7.8,1.066,-20.6,21.2,-33.2,33.9,-31.5,3.7,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,161,2017-10-05 18:59:05:215
0.849,4.312,8.677,-0.487,5.119,8.35,1.266,-1.102,0.726,-3.0,-12.3,-1.3,1.066,-20.6,21.2,-33.2,33.9,-31.5,3.7,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,171,2017-10-05 18:59:05:225
0.792,4.083,9.225,-0.487,5.119,8.35,1.266,-1.102,0.726,-1.3,-15.5,-7.3,1.066,-20.6,21.2,-33.5,33.9,-31.5,3.7,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,181,2017-10-05 18:59:05:235
0.792,4.083,9.225,-0.458,5.08,8.376,0.67,-0.837,0.687,-1.3,-15.5,-7.3,1.066,-20.6,21.2,-33.5,33.9,-31.5,3.7,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,191,2017-10-05 18:59:05:245
-0.297,4.953,8.831,-0.458,5.08,8.376,0.67,-0.837,0.687,-1.5,-12.0,-6.0,1.066,-20.4,21.3,-33.5,32.0,-31.2,3.1,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,200,2017-10-05 18:59:05:254
-0.297,4.953,8.831,-0.42,5.034,8.406,0.129,-0.161,0.284,-1.5,-12.0,-6.0,0.0,-20.4,21.3,-33.5,32.0,-31.2,3.1,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,211,2017-10-05 18:59:05:265
-0.224,5.292,8.786,-0.413,5.009,8.421,0.193,0.198,0.224,-2.7,-4.1,-0.7,0.0,-20.2,21.3,-33.4,32.0,-31.2,3.1,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,221,2017-10-05 18:59:05:275
-0.025,5.418,8.452,-0.407,4.954,8.454,0.382,0.377,-0.137,-3.4,1.5,3.8,0.0,-20.0,20.9,-33.4,32.1,-30.7,2.8,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,231,2017-10-05 18:59:05:285
-0.025,5.418,8.452,-0.407,4.954,8.454,0.382,0.377,-0.137,-3.4,1.5,3.8,0.0,-20.0,20.9,-33.4,32.1,-30.7,2.8,5.0,25.49,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,241,2017-10-05 18:59:05:295
0.16,5.273,8.208,-0.416,4.922,8.472,0.574,0.267,-0.395,-5.7,6.1,5.6,0.0,-20.0,20.9,-33.4,32.1,-30.7,2.8,5.0,36.43,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,251,2017-10-05 18:59:05:305
0.16,5.273,8.208,-0.416,4.922,8.472,0.574,0.267,-0.395,-5.7,6.1,5.6,0.0,-20.0,20.9,-33.4,32.1,-30.7,2.8,5.0,36.43,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,261,2017-10-05 18:59:05:315
-0.013,5.353,8.318,-0.411,4.913,8.478,0.398,0.355,-0.293,-8.3,10.0,4.5,0.0,-20.1,20.9,-33.3,32.1,-30.7,2.8,5.0,36.43,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,271,2017-10-05 18:59:05:325
-0.013,5.353,8.318,-0.411,4.913,8.478,0.398,0.355,-0.293,-10.0,9.2,2.7,0.0,-20.1,20.9,-33.3,32.1,-30.7,2.8,5.0,36.43,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,281,2017-10-05 18:59:05:335
-0.462,5.426,8.789,-0.406,4.903,8.483,-0.048,0.436,0.165,-10.0,9.2,2.7,0.0,-20.2,21.1,-33.3,32.2,-30.1,2.8,5.0,36.43,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,291,2017-10-05 18:59:05:345
-0.541,5.461,9.157,-0.394,4.894,8.489,-0.138,0.479,0.521,-10.0,9.2,2.7,0.0,-20.3,20.9,-33.1,32.2,-30.1,2.8,5.0,36.43,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,301,2017-10-05 18:59:05:355
-0.541,5.461,9.157,-0.394,4.894,8.489,-0.138,0.479,0.521,-9.5,6.5,1.3,0.0,-20.3,20.9,-33.1,32.2,-30.1,2.8,5.0,36.43,12.84155,77.6525,,936.2956543,,110.0,,0 / 0,311,2017-10-05 18:59:05:365
