ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.47,1.334,11.131,2.636,1.773,9.278,-3.099,-0.461,1.675,39.5,-5.5,10.0,0.0,-26.5,-35.7,-16.8,145.8,-10.0,-16.0,5.0,36.44,12.84323,77.66195,,937.4072266,,48.9,,0 / 0,5,2017-10-05 18:53:25:157
-0.267,2.117,10.591,2.5,1.876,9.295,-2.762,0.207,1.125,46.9,6.1,11.2,0.0,-27.1,-35.5,-15.9,145.8,-10.0,-16.0,5.0,36.44,12.84323,77.66195,,937.4072266,,48.9,,0 / 0,15,2017-10-05 18:53:25:167
-0.267,2.117,10.591,2.5,1.876,9.295,-2.762,0.207,1.125,50.2,-11.3,8.3,0.0,-27.1,-35.5,-15.9,145.8,-10.0,-16.0,5.0,36.44,12.84323,77.66195,,937.4072266,,48.9,,0 / 0,25,2017-10-05 18:53:25:177
0.246,1.853,10.781,2.394,1.986,9.3,-2.152,-0.163,1.307,50.2,-11.3,8.3,0.0,-27.5,-35.3,-14.8,142.5,-11.0,-15.1,5.0,36.44,12.84323,77.66195,,937.4072266,,48.9,,0 / 0,35,2017-10-05 18:53:25:187
0.246,1.853,10.781,2.394,1.986,9.3,-2.152,-0.163,1.307,42.0,-26.4,1.7,0.0,-27.5,-35.3,-14.8,142.5,-11.0,-15.1,5.0,36.44,12.84323,77.66195,,937.4072266,,48.9,,0 / 0,45,2017-10-05 18:53:25:197
0.354,2.301,8.67,2.353,2.061,9.295,-2.005,0.204,-0.764,42.0,-26.4,1.7,0.0,-27.7,-35.2,-14.2,142.5,-11.0,-15.1,5.0,36.44,12.84323,77.66195,,937.4072266,,48.9,,0 / 0,56,2017-10-05 18:53:25:208
0.354,2.301,8.67,2.353,2.061,9.295,-2.005,0.204,-0.764,27.2,-39.5,1.0,0.0,-27.7,-35.2,-14.2,142.5,-11.0,-15.1,5.0,36.44,12.84323,77.66195,,937.4072266,,48.9,,0 / 0,65,2017-10-05 18:53:25:217
0.354,2.301,8.67,2.325,2.13,9.286,-1.977,0.134,-0.755,14.0,-52.1,9.2,0.0,-27.7,-35.2,-14.2,142.5,-11.0,-15.1,5.0,36.44,12.84323,77.66195,,937.4072266,,48.9,,0 / 0,75,2017-10-05 18:53:25:227
0.354,2.301,8.67,2.325,2.13,9.286,-1.977,0.134,-0.755,14.0,-52.1,9.2,0.0,-27.7,-35.2,-14.2,142.5,-11.0,-15.1,5.0,36.44,12.84323,77.66195,,937.4072266,,48.9,,0 / 0,85,2017-10-05 18:53:25:237
0.805,2.78,9.179,2.403,2.15,9.261,-1.611,0.585,-0.229,14.0,-52.1,9.2,0.0,-28.2,-35.0,-13.4,141.3,-12.5,-14.1,5.0,36.44,12.84323,77.66195,,937.4072266,,48.9,,0 / 0,95,2017-10-05 18:53:25:247
