ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.307,4.646,10.878,-1.332,4.25,8.737,-0.938,0.322,1.966,-16.3,-11.4,9.9,0.0,-4.9,-31.7,12.7,175.1,-26.5,9.1,5.0,35.26,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,7,2017-10-05 19:02:09:142
-1.555,4.385,10.467,-1.262,4.192,8.775,-0.268,0.122,1.524,2.6,-11.5,9.2,0.0,-5.3,-31.7,12.2,174.6,-25.3,8.2,5.0,35.26,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,17,2017-10-05 19:02:09:152
-1.555,4.385,10.467,-1.22,4.211,8.772,-0.268,0.122,1.524,17.2,-11.1,9.5,0.0,-5.3,-31.7,12.2,174.6,-25.3,8.2,5.0,35.26,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,27,2017-10-05 19:02:09:162
-1.192,3.907,9.867,-1.228,4.2,8.776,0.049,-0.329,0.919,17.2,-11.1,9.5,0.0,-5.5,-31.7,11.9,174.6,-25.3,8.2,5.0,35.26,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,38,2017-10-05 19:02:09:173
-1.192,3.907,9.867,-1.228,4.2,8.776,0.049,-0.329,0.919,26.0,-8.2,11.5,0.0,-5.5,-31.7,11.9,174.6,-25.3,8.2,5.0,35.26,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,48,2017-10-05 19:02:09:183
-0.823,4.075,9.596,-1.234,4.227,8.762,0.424,-0.218,0.679,26.0,-8.2,11.5,0.0,-5.6,-31.9,11.6,172.9,-25.4,8.0,5.0,35.26,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,57,2017-10-05 19:02:09:192
-0.823,4.075,9.596,-1.234,4.227,8.762,0.424,-0.218,0.679,30.2,-8.0,9.2,0.0,-5.6,-31.9,11.6,172.9,-25.4,8.0,5.0,35.26,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,67,2017-10-05 19:02:09:202
-0.692,4.498,9.267,-1.196,4.231,8.766,0.515,0.195,0.352,29.5,-8.0,6.6,0.0,-5.6,-32.1,11.2,172.9,-25.4,8.0,5.0,35.26,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,77,2017-10-05 19:02:09:212
-0.692,4.498,9.267,-1.196,4.231,8.766,0.515,0.195,0.352,29.5,-8.0,6.6,0.0,-5.6,-32.1,11.2,172.9,-25.4,8.0,5.0,35.26,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,87,2017-10-05 19:02:09:222
-1.324,4.911,8.197,-1.153,4.262,8.757,-0.149,0.57,-0.691,22.0,-7.8,4.2,0.0,-5.5,-32.1,11.0,174.2,-25.6,7.8,5.0,35.26,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,97,2017-10-05 19:02:09:232
-1.324,4.911,8.197,-1.13,4.289,8.746,-0.172,0.543,-0.681,22.0,-7.8,4.2,0.0,-5.7,-32.1,10.8,174.2,-25.6,7.8,5.0,35.26,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,107,2017-10-05 19:02:09:242
-1.324,4.911,8.197,-1.13,4.289,8.746,-0.172,0.543,-0.681,11.3,-7.8,4.3,0.0,-5.7,-32.1,10.8,174.2,-25.6,7.8,5.0,38.77,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,117,2017-10-05 19:02:09:252
-1.316,5.134,8.538,-1.083,4.345,8.725,-0.212,0.707,-0.324,11.3,-7.8,4.3,0.0,-5.9,-31.9,10.7,174.2,-25.6,7.8,5.0,38.77,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,127,2017-10-05 19:02:09:262
-1.212,5.126,8.919,-1.06,4.361,8.72,-0.132,0.683,0.056,2.9,-6.2,4.1,0.0,-5.9,-31.9,10.7,172.3,-26.3,7.1,5.0,38.77,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,136,2017-10-05 19:02:09:271
-1.212,5.126,8.919,-1.06,4.361,8.72,-0.132,0.683,0.056,-0.8,-5.0,4.0,0.0,-5.9,-31.9,10.7,172.3,-26.3,7.1,5.0,38.77,12.83932,77.66423,,932.0861816,,92.9,,0 / 0,147,2017-10-05 19:02:09:282
