ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.344,4.687,8.682,0.144,4.378,8.774,-0.483,0.234,-0.232,-21.1,-31.6,-4.0,55.437,-10.7,6.9,-3.5,53.5,-26.8,-0.6,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,4,2017-10-05 19:04:15:181
0.116,4.472,9.642,0.241,4.342,8.79,-0.127,0.058,0.697,-24.0,-27.1,7.0,55.437,-10.7,7.1,-3.4,53.5,-26.8,-0.6,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,14,2017-10-05 19:04:15:191
0.116,4.472,9.642,0.241,4.342,8.79,-0.127,0.058,0.697,-24.0,-27.1,7.0,55.437,-10.7,7.1,-3.4,53.5,-26.8,-0.6,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,23,2017-10-05 19:04:15:200
0.33,4.497,9.633,0.33,4.293,8.811,-0.005,0.131,0.667,-24.0,-27.1,7.0,55.437,-10.6,7.1,-3.2,54.7,-26.3,-1.6,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,34,2017-10-05 19:04:15:211
0.33,4.497,9.633,0.367,4.267,8.822,-0.005,0.131,0.667,-21.2,-26.2,7.2,55.437,-10.7,7.3,-3.1,54.7,-26.3,-1.6,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,44,2017-10-05 19:04:15:221
0.33,4.497,9.633,0.367,4.267,8.822,0.197,0.198,0.67,-19.3,-27.2,8.1,55.437,-10.7,7.3,-3.1,54.7,-26.3,-1.6,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,54,2017-10-05 19:04:15:231
1.218,4.242,9.8,0.434,4.21,8.846,0.764,-0.036,0.796,-13.1,-22.6,4.6,55.437,-10.6,7.3,-3.0,54.3,-25.8,-2.4,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,64,2017-10-05 19:04:15:241
1.218,4.242,9.8,0.434,4.21,8.846,0.764,-0.036,0.812,-0.1,-16.2,-2.7,55.437,-10.4,7.5,-2.9,54.3,-25.8,-2.4,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,74,2017-10-05 19:04:15:251
1.398,4.119,9.83,0.475,4.177,8.86,0.9,-0.124,0.812,-0.1,-16.2,-2.7,55.437,-10.4,7.5,-2.9,54.3,-25.8,-2.4,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,83,2017-10-05 19:04:15:260
1.398,4.119,9.83,0.475,4.177,8.86,0.9,-0.124,0.812,-0.1,-16.2,-2.7,55.437,-10.4,7.5,-2.9,54.3,-25.8,-2.4,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,93,2017-10-05 19:04:15:270
1.061,4.155,9.878,0.538,4.171,8.859,0.506,-0.082,0.86,15.8,-9.7,-11.2,55.437,-10.4,7.3,-3.0,54.3,-25.8,-2.4,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,104,2017-10-05 19:04:15:281
1.061,4.155,9.878,0.538,4.171,8.859,0.506,-0.082,0.86,29.9,-12.1,-13.7,55.437,-10.4,7.3,-3.0,54.3,-25.8,-2.4,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,114,2017-10-05 19:04:15:291
-0.238,4.707,9.988,0.588,4.209,8.838,-0.822,0.423,0.989,29.9,-12.1,-13.7,55.437,-10.3,7.4,-2.5,51.1,-25.4,-3.8,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,124,2017-10-05 19:04:15:301
-0.238,4.707,9.988,0.588,4.209,8.838,-0.822,0.423,0.989,29.6,-4.9,-8.4,55.437,-10.3,7.4,-2.5,51.1,-25.4,-3.8,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,133,2017-10-05 19:04:15:310
0.142,5.174,8.562,0.62,4.284,8.8,-0.48,0.807,-0.375,29.6,-4.9,-8.4,55.437,-10.1,7.3,-2.5,51.1,-25.4,-3.8,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,143,2017-10-05 19:04:15:320
0.142,5.174,8.562,0.62,4.284,8.8,-0.48,0.807,-0.375,18.0,-2.9,-2.4,70.362,-10.1,7.3,-2.5,51.1,-25.4,-3.8,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,154,2017-10-05 19:04:15:331
0.15,5.015,8.523,0.639,4.299,8.791,-0.492,0.635,-0.405,18.0,-2.9,-2.4,70.362,-10.0,7.1,-2.5,52.8,-25.9,-4.0,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,164,2017-10-05 19:04:15:341
0.15,5.015,8.523,0.639,4.299,8.791,-0.492,0.635,-0.405,18.0,-2.9,-2.4,70.362,-10.0,7.1,-2.5,52.8,-25.9,-4.0,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,174,2017-10-05 19:04:15:351
0.655,4.88,8.2,0.681,4.335,8.77,-0.036,0.466,-0.702,-13.6,-21.6,4.2,70.362,-10.1,7.3,-2.2,52.8,-25.9,-4.0,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,184,2017-10-05 19:04:15:361
0.655,4.88,8.2,0.681,4.335,8.77,-0.036,0.466,-0.702,-23.6,-30.4,7.9,70.362,-10.1,7.3,-2.2,52.8,-25.9,-4.0,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,195,2017-10-05 19:04:15:372
0.692,4.912,9.387,0.771,4.318,8.771,-0.09,0.516,0.465,-23.6,-30.4,7.9,70.362,-10.3,7.3,-2.0,52.4,-26.1,-5.0,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,204,2017-10-05 19:04:15:381
1.281,4.393,10.305,0.852,4.315,8.765,0.409,0.008,1.374,-23.6,-30.4,7.9,70.362,-10.1,7.1,-1.8,52.4,-26.1,-5.0,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,214,2017-10-05 19:04:15:391
1.281,4.393,10.305,0.852,4.315,8.765,0.409,0.008,1.374,-23.6,-30.4,7.9,70.362,-10.1,7.1,-1.8,52.4,-26.1,-5.0,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,224,2017-10-05 19:04:15:401
1.281,4.393,10.305,0.852,4.315,8.765,0.409,0.008,1.374,-19.9,-28.3,6.1,70.362,-10.1,7.1,-1.8,52.4,-26.1,-5.0,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,233,2017-10-05 19:04:15:410
0.696,4.626,9.91,0.916,4.285,8.773,-0.231,0.267,0.978,-5.4,-3.8,0.9,70.362,-10.2,7.1,-2.0,52.1,-26.1,-5.6,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,244,2017-10-05 19:04:15:421
0.696,4.626,9.91,0.916,4.285,8.773,-0.231,0.267,0.978,8.7,12.9,-0.7,70.362,-10.2,7.1,-2.0,52.1,-26.1,-5.6,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,255,2017-10-05 19:04:15:432
0.559,4.686,10.185,0.873,4.321,8.76,-0.324,0.289,1.262,8.7,12.9,-0.7,70.362,-10.2,7.1,-2.0,52.1,-26.1,-5.6,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,264,2017-10-05 19:04:15:441
0.559,4.686,10.185,0.873,4.321,8.76,-0.324,0.289,1.262,8.7,12.9,-0.7,70.362,-10.2,7.1,-2.0,52.1,-26.1,-5.6,5.0,32.46,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,274,2017-10-05 19:04:15:451
0.897,4.619,8.762,0.848,4.336,8.755,0.034,0.209,-0.134,14.6,7.1,3.1,70.362,-10.1,7.1,-2.3,52.1,-26.1,-5.7,5.0,29.73,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,284,2017-10-05 19:04:15:461
0.897,4.619,8.762,0.848,4.336,8.755,0.034,0.209,-0.134,11.8,-4.5,2.9,70.362,-10.1,7.1,-2.3,52.1,-26.1,-5.7,5.0,29.73,12.84371,77.66282,,930.6473999,,24.879,,0 / 0,294,2017-10-05 19:04:15:471
