ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.148,3.79,9.665,-0.28,3.982,8.958,1.41,-0.252,0.552,-36.4,-2.0,24.6,126.866,10.6,-25.6,4.1,204.0,-24.8,2.2,5.0,31.1,12.84367,77.66268,,930.2175293,,98.4,,0 / 0,7,2017-10-05 19:08:51:860
1.148,3.79,9.665,-0.238,3.939,8.978,1.368,-0.21,0.532,-36.4,-2.0,24.6,126.866,10.7,-25.6,4.1,204.0,-24.8,2.2,5.0,31.1,12.84367,77.66268,,930.2175293,,98.4,,0 / 0,18,2017-10-05 19:08:51:871
1.148,3.79,9.665,-0.238,3.939,8.978,1.368,-0.21,0.532,-30.9,-1.9,22.5,126.866,10.7,-25.6,4.1,204.0,-24.8,2.2,5.0,31.1,12.84367,77.66268,,930.2175293,,98.4,,0 / 0,28,2017-10-05 19:08:51:881
0.902,3.833,10.662,-0.147,3.863,9.012,1.034,-0.092,1.479,-19.6,1.5,21.4,126.866,10.3,-25.6,3.6,204.0,-24.8,2.2,5.0,31.1,12.84367,77.66268,,930.2175293,,98.4,,0 / 0,38,2017-10-05 19:08:51:891
0.902,3.833,10.662,-0.097,3.798,9.041,0.984,-0.026,1.45,-19.6,1.5,21.4,126.866,10.3,-25.6,3.6,201.6,-23.2,0.9,5.0,31.1,12.84367,77.66268,,930.2175293,,98.4,,0 / 0,48,2017-10-05 19:08:51:901
0.902,3.833,10.662,-0.097,3.798,9.041,0.984,-0.026,1.45,-8.0,4.1,22.9,126.866,10.3,-25.6,3.6,201.6,-23.2,0.9,5.0,31.1,12.84367,77.66268,,930.2175293,,98.4,,0 / 0,58,2017-10-05 19:08:51:911
0.898,3.827,10.592,-0.018,3.756,9.059,0.902,0.01,1.363,-0.5,1.8,20.8,126.866,10.0,-25.5,3.3,201.6,-23.2,0.9,5.0,31.1,12.84367,77.66268,,930.2175293,,98.4,,0 / 0,68,2017-10-05 19:08:51:921
0.898,3.827,10.592,-0.018,3.756,9.059,0.902,0.01,1.363,-0.5,1.8,20.8,126.866,10.0,-25.5,3.3,201.6,-23.2,0.9,5.0,31.1,12.84367,77.66268,,930.2175293,,98.4,,0 / 0,78,2017-10-05 19:08:51:931
1.03,3.728,9.372,0.042,3.713,9.076,0.972,-0.045,0.145,0.8,3.1,16.0,126.866,9.4,-25.3,2.8,200.4,-22.5,0.1,5.0,31.1,12.84367,77.66268,,930.2175293,,98.4,,0 / 0,87,2017-10-05 19:08:51:940
1.03,3.728,9.372,0.042,3.713,9.076,0.972,-0.045,0.145,0.8,3.1,16.0,126.866,9.4,-25.3,2.8,200.4,-22.5,0.1,5.0,31.1,12.84367,77.66268,,930.2175293,,98.4,,0 / 0,98,2017-10-05 19:08:51:951
