ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.383,4.062,10.484,-1.336,3.583,9.03,-0.025,0.413,1.285,-13.4,-64.6,36.4,0.0,-21.8,-44.0,7.1,154.7,-21.5,9.6,5.0,34.33,12.84107,77.65978,,944.6733398,,50.0,,0 / 1,11,2017-10-05 18:47:34:800
-1.383,4.062,10.484,-1.336,3.583,9.03,-0.025,0.413,1.285,-4.1,-47.6,39.8,0.0,-21.8,-44.0,7.1,154.7,-21.5,9.6,5.0,34.33,12.84107,77.65978,,944.6733398,,50.0,,0 / 1,20,2017-10-05 18:47:34:809
-0.405,3.779,10.156,-1.112,3.591,9.057,0.713,0.127,0.936,-4.1,-47.6,39.8,0.0,-21.3,-44.3,6.2,155.8,-21.4,8.4,5.0,34.33,12.84107,77.65978,,944.6733398,,50.0,,0 / 1,31,2017-10-05 18:47:34:820
-0.405,3.779,10.156,-1.112,3.591,9.057,0.713,0.127,0.936,6.6,-27.9,34.8,0.0,-21.3,-44.3,6.2,155.8,-21.4,8.4,5.0,34.33,12.84107,77.65978,,944.6733398,,50.0,,0 / 1,41,2017-10-05 18:47:34:830
0.401,3.509,10.434,-0.986,3.67,9.04,1.38,-0.217,1.226,6.6,-27.9,34.8,0.0,-20.8,-44.3,5.6,155.8,-21.4,8.4,5.0,34.33,12.84107,77.65978,,944.6733398,,50.0,,0 / 1,52,2017-10-05 18:47:34:841
0.872,3.336,10.268,-0.895,3.666,9.051,1.752,-0.384,1.051,17.1,-12.9,25.3,0.0,-20.7,-44.5,5.3,155.8,-21.4,8.4,5.0,34.33,12.84107,77.65978,,944.6733398,,50.0,,0 / 1,61,2017-10-05 18:47:34:850
0.872,3.336,10.268,-0.895,3.666,9.051,1.752,-0.384,1.051,25.5,-8.0,17.6,0.0,-20.7,-44.5,5.3,155.8,-21.4,8.4,5.0,34.33,12.84107,77.65978,,944.6733398,,50.0,,0 / 1,71,2017-10-05 18:47:34:860
-0.033,3.73,9.66,-0.842,3.734,9.029,0.809,-0.064,0.476,25.5,-8.0,17.6,0.0,-20.6,-44.5,5.2,154.8,-22.0,5.6,5.0,34.33,12.84107,77.65978,,944.6733398,,50.0,,0 / 1,81,2017-10-05 18:47:34:870
-0.033,3.73,9.66,-0.842,3.734,9.029,0.809,-0.064,0.476,28.3,-4.3,14.6,0.0,-20.6,-44.5,5.2,154.8,-22.0,5.6,5.0,34.33,12.84107,77.65978,,944.6733398,,50.0,,0 / 1,91,2017-10-05 18:47:34:880
-0.062,3.832,8.096,-0.696,3.782,9.021,0.634,-0.012,-1.055,28.3,9.0,14.1,0.0,-20.9,-44.5,5.2,154.8,-22.0,5.6,5.0,34.33,12.84107,77.65978,,944.6733398,,50.0,,0 / 1,100,2017-10-05 18:47:34:889
