ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.569,4.491,8.653,-0.221,4.605,8.656,0.782,-0.186,-0.141,4.9,-23.4,8.7,0.0,-34.5,-26.6,-8.3,120.4,-27.8,2.0,5.0,31.95,12.84534,77.66346,,NaN,,800.0,,0 / 0,7,2017-10-05 18:50:42:944
0.569,4.491,8.653,-0.178,4.611,8.653,0.738,-0.192,-0.139,-4.3,-22.3,3.4,0.0,-34.5,-26.6,-8.3,120.4,-27.8,2.0,5.0,31.95,12.84534,77.66346,,NaN,,800.0,,0 / 0,17,2017-10-05 18:50:42:954
0.569,4.491,8.653,-0.178,4.611,8.653,0.738,-0.192,-0.139,-4.3,-22.3,3.4,0.0,-34.5,-26.6,-8.3,120.4,-27.8,2.0,5.0,31.95,12.84534,77.66346,,NaN,,800.0,,0 / 0,27,2017-10-05 18:50:42:964
0.795,4.266,8.783,-0.12,4.621,8.649,0.902,-0.423,-0.006,-4.3,-22.3,3.4,1.066,-34.6,-26.2,-7.9,120.4,-27.8,2.0,5.0,31.95,12.84534,77.66346,,NaN,,800.0,,0 / 0,37,2017-10-05 18:50:42:974
0.795,4.266,8.783,-0.12,4.621,8.649,0.902,-0.423,-0.006,-9.6,-26.9,-1.6,1.066,-34.6,-26.2,-7.9,120.4,-27.8,2.0,5.0,31.95,12.84534,77.66346,,NaN,,800.0,,0 / 0,47,2017-10-05 18:50:42:984
0.834,4.097,9.224,-0.028,4.606,8.658,0.848,-0.574,0.418,-12.5,-28.6,-6.1,1.066,-34.7,-25.8,-7.6,118.8,-28.0,0.2,5.0,31.95,12.84534,77.66346,,NaN,,800.0,,0 / 0,57,2017-10-05 18:50:42:994
0.834,4.097,9.224,-0.028,4.606,8.658,0.848,-0.574,0.418,-12.5,-28.6,-6.1,1.066,-34.7,-25.8,-7.6,118.8,-28.0,0.2,5.0,31.95,12.84534,77.66346,,NaN,,800.0,,0 / 0,67,2017-10-05 18:50:43:004
0.75,4.034,8.498,0.064,4.562,8.681,0.674,-0.592,-0.32,-13.0,-28.3,-12.6,1.066,-34.8,-25.6,-7.6,118.8,-28.0,0.2,5.0,31.95,12.84534,77.66346,,NaN,,800.0,,0 / 0,77,2017-10-05 18:50:43:014
0.75,4.034,8.498,0.064,4.562,8.681,0.674,-0.592,-0.32,-12.7,-14.6,-14.8,1.066,-34.8,-25.6,-7.6,118.8,-28.0,0.2,5.0,31.95,12.84534,77.66346,,NaN,,800.0,,0 / 0,88,2017-10-05 18:50:43:025
0.444,4.309,8.365,0.132,4.5,8.712,0.305,-0.26,-0.482,-12.7,-14.6,-14.8,1.066,-35.2,-25.5,-7.1,119.3,-27.7,-0.4,5.0,31.95,12.84534,77.66346,,NaN,,800.0,,0 / 0,97,2017-10-05 18:50:43:034
