sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.678588;2.434795;12.059104;0.608685;4.48642;8.880522;1.810589;0.490139;-0.963292;-41.4419;120.4902;-4.2865;0.0;31.5949;9.7137;-10.6796;291.5206;-27.2251;-4.0026;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;36;2017-10-03 21:24:34:814
-0.678588;2.434795;12.059104;-0.433727;4.137466;8.880522;1.810589;0.490139;-0.963292;-41.4419;120.4902;-4.2865;0.0;31.5949;9.7137;-10.6796;291.5206;-27.2251;-4.0026;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;46;2017-10-03 21:24:34:824
-0.678588;2.434795;12.059104;-0.433727;4.137466;8.880522;1.810589;0.490139;-0.963292;-41.4419;120.4902;-4.2865;0.0;31.5949;9.7137;-10.6796;291.5206;-27.2251;-4.0026;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;56;2017-10-03 21:24:34:834
-0.678588;2.434795;12.059104;-0.433727;4.137466;8.880522;1.810589;0.490139;-0.963292;-41.4419;120.4902;-4.2865;0.0;31.5949;9.7137;-10.6796;291.5206;-27.2251;-4.0026;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;66;2017-10-03 21:24:34:844
0.501069;1.529109;10.142448;-0.433727;4.137466;8.880522;1.810589;0.490139;-0.963292;-41.4419;120.4902;-4.2865;0.0;31.7123;9.7778;-10.4538;293.8873;-24.9549;2.7961;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;78;2017-10-03 21:24:34:856
0.501069;1.529109;10.142448;-0.433727;4.137466;8.880522;1.810589;0.490139;-0.963292;-41.4419;120.4902;-4.2865;0.0;31.7123;9.7778;-10.4538;293.8873;-24.9549;2.7961;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;87;2017-10-03 21:24:34:865
0.441239;2.368983;11.46926;-2.277955;3.663768;8.806708;1.950623;0.297773;0.622397;-55.6574;216.3446;10.7054;0.0;31.7123;9.7778;-10.4538;293.8873;-24.9549;2.7961;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;97;2017-10-03 21:24:34:875
0.441239;2.368983;11.46926;-2.277955;3.663768;8.806708;1.950623;0.297773;0.622397;-55.6574;216.3446;10.7054;0.0;31.7123;9.7778;-10.4538;293.8873;-24.9549;2.7961;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;106;2017-10-03 21:24:34:884
0.441239;2.368983;11.46926;-2.277955;3.663768;8.806708;1.950623;0.297773;0.622397;-55.6574;216.3446;10.7054;0.0;31.7123;9.7778;-10.4538;293.8873;-24.9549;2.7961;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;117;2017-10-03 21:24:34:895
0.441239;2.368983;11.46926;-2.277955;3.663768;8.806708;1.950623;0.297773;0.622397;-55.6574;216.3446;10.7054;0.0;31.7123;9.7778;-10.4538;293.8873;-24.9549;2.7961;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;126;2017-10-03 21:24:34:904
0.441239;2.368983;11.46926;-2.277955;3.663768;8.806708;1.950623;0.297773;0.622397;-55.6574;216.3446;10.7054;0.0;31.7123;9.7778;-10.4538;293.8873;-24.9549;2.7961;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;136;2017-10-03 21:24:34:914
0.441239;2.368983;11.46926;-2.277955;3.663768;8.806708;1.950623;0.297773;0.622397;-55.6574;216.3446;10.7054;0.0;31.7123;9.7778;-10.4538;293.8873;-24.9549;2.7961;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;147;2017-10-03 21:24:34:925
0.441239;2.368983;11.46926;-2.277955;3.663768;8.806708;1.950623;0.297773;0.622397;-55.6574;216.3446;10.7054;0.0;31.7123;9.7778;-10.4538;293.8873;-24.9549;2.7961;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;157;2017-10-03 21:24:34:935
0.441239;2.368983;11.46926;-2.277955;3.663768;8.806708;1.950623;0.297773;0.622397;-55.6574;216.3446;10.7054;0.0;31.7123;9.7778;-10.4538;293.8873;-24.9549;2.7961;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;167;2017-10-03 21:24:34:945
0.441239;2.368983;11.46926;-2.277955;3.663768;8.806708;1.950623;0.297773;0.622397;-55.6574;216.3446;10.7054;0.0;31.7123;9.7778;-10.4538;293.8873;-24.9549;2.7961;5.0;64.29186;12.846286;77.66219;;NaN;;926.0;;0 / 0;176;2017-10-03 21:24:34:954
1.763276;0.927302;12.476646;-3.03463;3.793256;8.518956;2.682686;0.623081;2.198142;23.717;82.6145;-26.0452;0.0;31.662;9.8831;-10.1379;299.1569;-21.9378;14.5023;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;187;2017-10-03 21:24:34:965
1.763276;0.927302;12.476646;-3.03463;3.793256;8.518956;2.682686;0.623081;2.198142;23.717;82.6145;-26.0452;0.0;31.662;9.8831;-10.1379;299.1569;-21.9378;14.5023;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;197;2017-10-03 21:24:34:975
1.763276;0.927302;12.476646;-3.03463;3.793256;8.518956;2.682686;0.623081;2.198142;23.717;82.6145;-26.0452;0.0;31.662;9.8831;-10.1379;299.1569;-21.9378;14.5023;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;209;2017-10-03 21:24:34:987
-3.60501;2.341472;8.058295;-2.81664;4.182781;8.410784;1.049719;-1.713382;-0.212029;78.1304;-63.7977;-82.4248;0.0;31.662;9.8831;-10.1379;299.1569;-21.9378;14.5023;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;216;2017-10-03 21:24:34:994
-3.60501;2.341472;8.058295;-2.81664;4.182781;8.410784;1.049719;-1.713382;-0.212029;78.1304;-63.7977;-82.4248;0.0;31.662;9.8831;-10.1379;299.1569;-21.9378;14.5023;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;226;2017-10-03 21:24:35:004
-3.60501;2.341472;8.058295;-2.81664;4.182781;8.410784;1.049719;-1.713382;-0.212029;78.1304;-63.7977;-82.4248;0.0;31.662;9.8831;-10.1379;299.1569;-21.9378;14.5023;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;237;2017-10-03 21:24:35:015
-3.60501;2.341472;8.058295;-2.81664;4.182781;8.410784;1.049719;-1.713382;-0.212029;78.1304;-63.7977;-82.4248;0.0;31.662;9.8831;-10.1379;299.1569;-21.9378;14.5023;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;246;2017-10-03 21:24:35:024
-0.263442;2.48025;9.484428;-2.81664;4.182781;8.410784;1.049719;-1.713382;-0.212029;78.1304;-63.7977;-82.4248;0.0;31.662;9.8831;-10.1379;299.1569;-21.9378;14.5023;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;257;2017-10-03 21:24:35:035
-0.263442;2.48025;9.484428;-2.81664;4.182781;8.410784;1.049719;-1.713382;-0.212029;78.1304;-63.7977;-82.4248;0.0;31.575;10.2005;-9.4635;301.7655;-25.2472;18.5149;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;266;2017-10-03 21:24:35:044
-0.263442;2.48025;9.484428;-2.787649;4.255436;8.383953;-0.470874;4.21E-4;-0.277709;23.4189;-26.9658;-44.4668;0.0;31.575;10.2005;-9.4635;301.7655;-25.2472;18.5149;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;277;2017-10-03 21:24:35:055
-0.263442;2.48025;9.484428;-2.787649;4.255436;8.383953;-0.470874;4.21E-4;-0.277709;23.4189;-26.9658;-44.4668;0.0;31.575;10.2005;-9.4635;301.7655;-25.2472;18.5149;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;287;2017-10-03 21:24:35:065
-1.731445;1.688228;9.157798;-2.787649;4.255436;8.383953;-0.470874;4.21E-4;-0.277709;23.4189;-26.9658;-44.4668;0.0;31.575;10.2005;-9.4635;301.7655;-25.2472;18.5149;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;297;2017-10-03 21:24:35:075
-1.731445;1.688228;9.157798;-2.787649;4.255436;8.383953;-0.470874;4.21E-4;-0.277709;23.4189;-26.9658;-44.4668;0.0;31.575;10.2005;-9.4635;301.7655;-25.2472;18.5149;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;307;2017-10-03 21:24:35:085
-1.731445;1.688228;9.157798;-2.787649;4.255436;8.383953;-0.470874;4.21E-4;-0.277709;23.4189;-26.9658;-44.4668;0.0;31.575;10.2005;-9.4635;301.7655;-25.2472;18.5149;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;317;2017-10-03 21:24:35:095
-1.374908;2.333095;8.928092;-2.787649;4.255436;8.383953;-0.470874;4.21E-4;-0.277709;32.8347;-70.8154;-40.1331;0.0;31.575;10.2005;-9.4635;301.7655;-25.2472;18.5149;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;327;2017-10-03 21:24:35:105
-1.374908;2.333095;8.928092;-2.382915;4.416197;8.425516;-0.806347;-0.486171;0.136335;32.8347;-70.8154;-40.1331;0.0;31.5277;10.4919;-9.3735;300.5827;-26.7646;15.792;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;337;2017-10-03 21:24:35:115
-1.374908;2.333095;8.928092;-2.382915;4.416197;8.425516;-0.806347;-0.486171;0.136335;32.8347;-70.8154;-40.1331;0.0;31.5277;10.4919;-9.3735;300.5827;-26.7646;15.792;5.0;60.89484;12.846286;77.66219;;NaN;;926.0;;0 / 0;346;2017-10-03 21:24:35:124
