sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
3.855805;1.737285;11.444144;0.844752;3.597718;9.083678;-2.653708;0.225251;-1.610146;29.1768;-112.273;-17.1032;0.0;29.4586;28.215;-11.6348;316.5325;-19.7543;0.473;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;42;2017-10-03 21:30:44:699
1.830277;0.331492;8.958;0.844752;3.597718;9.083678;-2.653708;0.225251;-1.610146;29.1768;-112.273;-17.1032;0.0;27.1286;27.6352;-17.9245;317.9972;-21.5224;-5.313;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;52;2017-10-03 21:30:44:709
1.830277;0.331492;8.958;0.844752;3.597718;9.083678;-2.653708;0.225251;-1.610146;52.8195;-23.2266;-16.3094;0.0;27.1286;27.6352;-17.9245;317.9972;-21.5224;-5.313;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;62;2017-10-03 21:30:44:719
1.830277;0.331492;8.958;0.986328;4.082247;8.861874;-0.284285;-0.002248;0.169859;52.8195;-23.2266;-16.3094;0.0;27.1286;27.6352;-17.9245;317.9972;-21.5224;-5.313;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;72;2017-10-03 21:30:44:729
2.16887;2.073466;7.915931;0.986328;4.082247;8.861874;-0.284285;-0.002248;0.169859;52.8195;-23.2266;-16.3094;0.0;27.1286;27.6352;-17.9245;317.9972;-21.5224;-5.313;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;81;2017-10-03 21:30:44:738
2.16887;2.073466;7.915931;0.986328;4.082247;8.861874;-0.284285;-0.002248;0.169859;52.8195;-23.2266;-16.3094;0.0;27.1286;27.6352;-17.9245;317.9972;-21.5224;-5.313;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;91;2017-10-03 21:30:44:748
2.16887;2.073466;7.915931;0.986328;4.082247;8.861874;-0.284285;-0.002248;0.169859;52.8195;-23.2266;-16.3094;0.0;27.1286;27.6352;-17.9245;317.9972;-21.5224;-5.313;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;104;2017-10-03 21:30:44:761
2.16887;2.073466;7.915931;0.986328;4.082247;8.861874;-0.284285;-0.002248;0.169859;52.8195;-23.2266;-16.3094;0.0;27.1286;27.6352;-17.9245;317.9972;-21.5224;-5.313;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;112;2017-10-03 21:30:44:769
2.853211;2.621425;5.28263;0.66976;4.404213;8.736402;0.039149;-0.332235;0.296323;38.6565;41.7514;10.687;0.0;26.8799;27.4185;-18.9926;317.1257;-24.5995;-6.3509;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;122;2017-10-03 21:30:44:779
2.853211;2.621425;5.28263;0.66976;4.404213;8.736402;0.039149;-0.332235;0.296323;38.6565;41.7514;10.687;0.0;26.8799;27.4185;-18.9926;317.1257;-24.5995;-6.3509;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;131;2017-10-03 21:30:44:788
2.853211;2.621425;5.28263;0.66976;4.404213;8.736402;0.039149;-0.332235;0.296323;38.6565;41.7514;10.687;0.0;26.8799;27.4185;-18.9926;317.1257;-24.5995;-6.3509;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;141;2017-10-03 21:30:44:798
2.853211;2.621425;5.28263;0.66976;4.404213;8.736402;0.039149;-0.332235;0.296323;38.6565;41.7514;10.687;0.0;26.8799;27.4185;-18.9926;317.1257;-24.5995;-6.3509;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;151;2017-10-03 21:30:44:808
2.476334;1.133098;8.081031;0.66976;4.404213;8.736402;0.039149;-0.332235;0.296323;38.6565;41.7514;10.687;0.0;26.8799;27.4185;-18.9926;317.1257;-24.5995;-6.3509;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;161;2017-10-03 21:30:44:818
2.476334;1.133098;8.081031;0.66976;4.404213;8.736402;0.039149;-0.332235;0.296323;38.6565;41.7514;10.687;0.0;26.8799;27.4185;-18.9926;317.1257;-24.5995;-6.3509;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;171;2017-10-03 21:30:44:828
2.476334;1.133098;8.081031;1.181721;4.326023;8.721208;0.221332;0.386483;-2.266562;-12.5195;-63.9437;-11.2518;0.0;26.8799;27.4185;-18.9926;317.1257;-24.5995;-6.3509;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;182;2017-10-03 21:30:44:839
2.476334;1.133098;8.081031;1.181721;4.326023;8.721208;0.221332;0.386483;-2.266562;-12.5195;-63.9437;-11.2518;0.0;26.506;27.2095;-20.0882;316.821;-26.1761;-7.7166;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;192;2017-10-03 21:30:44:849
4.456406;0.107768;9.564582;1.181721;4.326023;8.721208;0.221332;0.386483;-2.266562;-12.5195;-63.9437;-11.2518;0.0;26.506;27.2095;-20.0882;316.821;-26.1761;-7.7166;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;201;2017-10-03 21:30:44:858
4.456406;0.107768;9.564582;1.181721;4.326023;8.721208;0.221332;0.386483;-2.266562;-12.5195;-63.9437;-11.2518;0.0;26.506;27.2095;-20.0882;316.821;-26.1761;-7.7166;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;211;2017-10-03 21:30:44:868
4.456406;0.107768;9.564582;1.181721;4.326023;8.721208;0.221332;0.386483;-2.266562;-12.5195;-63.9437;-11.2518;0.0;26.506;27.2095;-20.0882;316.821;-26.1761;-7.7166;5.0;56.67752;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;222;2017-10-03 21:30:44:879
4.324799;-0.41985;10.672462;1.181721;3.941341;8.772694;-0.247428;-0.812427;-1.009962;-43.8216;-85.1656;-0.5595;0.0;26.506;27.2095;-20.0882;316.821;-26.1761;-7.7166;5.0;56.34313;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;233;2017-10-03 21:30:44:890
4.324799;-0.41985;10.672462;1.917306;3.941341;8.772694;-0.247428;-0.812427;-1.009962;-43.8216;-85.1656;-0.5595;0.0;26.506;27.2095;-20.0882;316.821;-26.1761;-7.7166;5.0;56.34313;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;241;2017-10-03 21:30:44:898
4.324799;-0.41985;10.672462;1.917306;3.941341;8.772694;-0.247428;-0.812427;-1.009962;-43.8216;-85.1656;-0.5595;0.0;26.506;27.2095;-20.0882;316.821;-26.1761;-7.7166;5.0;56.34313;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;252;2017-10-03 21:30:44:909
4.324799;-0.41985;10.672462;1.917306;3.941341;8.772694;-0.247428;-0.812427;-1.009962;-43.8216;-85.1656;-0.5595;0.0;26.0803;27.1744;-21.0693;315.8066;-23.6973;-12.3284;5.0;56.34313;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;261;2017-10-03 21:30:44:918
4.324799;-0.41985;10.672462;1.917306;3.941341;8.772694;-0.247428;-0.812427;-1.009962;-43.8216;-85.1656;-0.5595;0.0;26.0803;27.1744;-21.0693;315.8066;-23.6973;-12.3284;5.0;56.34313;12.843671;77.66302;;930.1116333;;23.846;;0 / 0;271;2017-10-03 21:30:44:928
