sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
4.057999;1.360408;13.547432;0.883574;3.503924;9.11659;-0.055711;-0.21678;1.206048;-28.0071;-38.312;-42.1684;0.0;44.2596;-15.5838;-42.6987;268.6043;-20.9345;-5.5358;5.0;56.0921;12.843671;77.66302;;NaN;;25.326;;0 / 0;6;2017-10-03 21:21:00:546
4.057999;1.360408;13.547432;0.883574;3.503924;9.11659;-0.055711;-0.21678;1.206048;-28.0071;-38.312;-42.1684;0.0;44.2596;-15.5838;-42.6987;268.6043;-20.9345;-5.5358;5.0;56.0921;12.843671;77.66302;;NaN;;25.326;;0 / 0;15;2017-10-03 21:21:00:555
3.527985;-0.136296;10.698784;0.883574;3.503924;9.11659;-0.055711;-0.21678;1.206048;-28.0071;-38.312;-42.1684;0.0;44.2596;-15.5838;-42.6987;268.6043;-20.9345;-5.5358;5.0;56.0921;12.843671;77.66302;;NaN;;25.326;;0 / 0;25;2017-10-03 21:21:00:565
3.527985;-0.136296;10.698784;0.883574;3.503924;9.11659;-0.055711;-0.21678;1.206048;-28.0071;-38.312;-42.1684;0.0;44.2596;-15.5838;-42.6987;268.6043;-20.9345;-5.5358;5.0;56.0921;12.843671;77.66302;;NaN;;25.326;;0 / 0;36;2017-10-03 21:21:00:576
3.527985;-0.136296;10.698784;0.443968;3.921815;8.977342;0.396627;-0.654129;1.334372;43.8015;24.9978;-60.736;0.0;44.2596;-15.5838;-42.6987;268.6043;-20.9345;-5.5358;5.0;56.0921;12.843671;77.66302;;NaN;;25.326;;0 / 0;45;2017-10-03 21:21:00:585
3.527985;-0.136296;10.698784;0.443968;3.921815;8.977342;0.396627;-0.654129;1.334372;43.8015;24.9978;-60.736;0.0;44.2596;-15.5838;-42.6987;268.6043;-20.9345;-5.5358;5.0;56.0921;12.843671;77.66302;;NaN;;25.326;;0 / 0;55;2017-10-03 21:21:00:595
0.566865;2.138072;5.763587;0.443968;3.921815;8.977342;0.396627;-0.654129;1.334372;43.8015;24.9978;-60.736;0.0;44.3756;-14.9048;-42.4652;272.6853;-23.5728;-2.8312;5.0;56.0921;12.843671;77.66302;;NaN;;25.326;;0 / 0;65;2017-10-03 21:21:00:605
0.566865;2.138072;5.763587;0.443968;3.921815;8.977342;0.396627;-0.654129;1.334372;43.8015;24.9978;-60.736;0.0;44.3756;-14.9048;-42.4652;272.6853;-23.5728;-2.8312;5.0;56.0921;12.843671;77.66302;;NaN;;25.326;;0 / 0;76;2017-10-03 21:21:00:616
0.566865;2.138072;5.763587;0.443968;3.921815;8.977342;0.396627;-0.654129;1.334372;43.8015;24.9978;-60.736;0.0;44.3756;-14.9048;-42.4652;272.6853;-23.5728;-2.8312;5.0;56.0921;12.843671;77.66302;;NaN;;25.326;;0 / 0;86;2017-10-03 21:21:00:626
0.566865;2.138072;5.763587;0.444324;4.196739;8.852138;0.922372;-1.380359;-0.235116;43.8015;24.9978;-60.736;0.0;44.3756;-14.9048;-42.4652;272.6853;-23.5728;-2.8312;5.0;56.0921;12.843671;77.66302;;NaN;;25.326;;0 / 0;97;2017-10-03 21:21:00:637
