sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.780228;0.929698;10.035972;0.438967;3.459441;9.165694;-0.221962;0.009491;1.149531;-33.8349;-24.0904;31.9439;0.0;31.1066;11.5204;-46.1502;309.0599;-20.6565;-2.7419;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;7;2017-10-03 21:16:54:881
2.780228;0.929698;10.035972;0.438967;3.459441;9.165694;-0.221962;0.009491;1.149531;-33.8349;-24.0904;31.9439;0.0;31.1066;11.5204;-46.1502;309.0599;-20.6565;-2.7419;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;16;2017-10-03 21:16:54:890
2.780228;0.929698;10.035972;0.543985;3.389775;9.186072;0.229236;-0.378298;0.4236;-6.4529;-8.6316;6.7913;0.0;31.1066;11.5204;-46.1502;309.0599;-20.6565;-2.7419;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;26;2017-10-03 21:16:54:900
2.780228;0.929698;10.035972;0.543985;3.389775;9.186072;0.229236;-0.378298;0.4236;-6.4529;-8.6316;6.7913;0.0;31.1066;11.5204;-46.1502;309.0599;-20.6565;-2.7419;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;36;2017-10-03 21:16:54:910
1.433076;1.294612;11.203666;0.543985;3.389775;9.186072;0.229236;-0.378298;0.4236;-6.4529;-8.6316;6.7913;0.0;31.1066;11.5204;-46.1502;309.0599;-20.6565;-2.7419;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;48;2017-10-03 21:16:54:922
1.433076;1.294612;11.203666;0.543985;3.389775;9.186072;0.229236;-0.378298;0.4236;-6.4529;-8.6316;6.7913;0.0;31.1066;11.5204;-46.1502;309.0599;-20.6565;-2.7419;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;58;2017-10-03 21:16:54:932
1.433076;1.294612;11.203666;0.543985;3.389775;9.186072;0.229236;-0.378298;0.4236;-6.4529;-8.6316;6.7913;0.0;31.3339;11.3129;-46.0525;307.2086;-20.2221;-3.389;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;67;2017-10-03 21:16:54:941
1.433076;1.294612;11.203666;0.543985;3.389775;9.186072;0.229236;-0.378298;0.4236;-6.4529;-8.6316;6.7913;0.0;31.3339;11.3129;-46.0525;307.2086;-20.2221;-3.389;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;77;2017-10-03 21:16:54:951
1.57425;2.452739;8.942452;0.031165;3.773658;9.05146;0.756345;-0.774327;0.558509;44.1337;59.1169;2.684;0.0;31.3339;11.3129;-46.0525;307.2086;-20.2221;-3.389;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;86;2017-10-03 21:16:54:960
1.57425;2.452739;8.942452;0.031165;3.773658;9.05146;0.756345;-0.774327;0.558509;44.1337;59.1169;2.684;0.0;31.3339;11.3129;-46.0525;307.2086;-20.2221;-3.389;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;96;2017-10-03 21:16:54:970
1.57425;2.452739;8.942452;0.031165;3.773658;9.05146;0.756345;-0.774327;0.558509;44.1337;59.1169;2.684;0.0;31.3339;11.3129;-46.0525;307.2086;-20.2221;-3.389;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;106;2017-10-03 21:16:54:980
1.57425;2.452739;8.942452;0.031165;3.773658;9.05146;0.756345;-0.774327;0.558509;44.1337;59.1169;2.684;0.0;31.3339;11.3129;-46.0525;307.2086;-20.2221;-3.389;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;117;2017-10-03 21:16:54:991
1.916428;0.810069;7.966178;0.031165;3.773658;9.05146;0.756345;-0.774327;0.558509;44.1337;59.1169;2.684;0.0;31.3339;11.3129;-46.0525;307.2086;-20.2221;-3.389;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;126;2017-10-03 21:16:55:000
1.916428;0.810069;7.966178;-0.249287;4.039471;8.932578;0.175861;-0.078904;0.395787;44.1337;59.1169;2.684;0.0;31.5155;11.0535;-45.9076;310.8544;-22.6317;-0.1973;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;137;2017-10-03 21:16:55:011
1.916428;0.810069;7.966178;-0.249287;4.039471;8.932578;0.175861;-0.078904;0.395787;30.1805;33.3969;3.623;0.0;31.5155;11.0535;-45.9076;310.8544;-22.6317;-0.1973;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;146;2017-10-03 21:16:55:020
0.167267;1.659511;10.033576;-0.249287;4.039471;8.932578;0.175861;-0.078904;0.395787;30.1805;33.3969;3.623;0.0;31.5155;11.0535;-45.9076;310.8544;-22.6317;-0.1973;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;157;2017-10-03 21:16:55:031
0.167267;1.659511;10.033576;-0.249287;4.039471;8.932578;0.175861;-0.078904;0.395787;30.1805;33.3969;3.623;0.0;31.5155;11.0535;-45.9076;310.8544;-22.6317;-0.1973;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;167;2017-10-03 21:16:55:041
0.167267;1.659511;10.033576;-0.249287;4.039471;8.932578;0.175861;-0.078904;0.395787;30.1805;33.3969;3.623;0.0;31.5155;11.0535;-45.9076;310.8544;-22.6317;-0.1973;5.0;40.5168;12.847223;77.66102;;NaN;;926.0;;0 / 0;176;2017-10-03 21:16:55:050
0.167267;1.659511;10.033576;-0.249287;4.039471;8.932578;0.175861;-0.078904;0.395787;30.1805;33.3969;3.623;0.0;31.5155;11.0535;-45.9076;310.8544;-22.6317;-0.1973;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;186;2017-10-03 21:16:55:060
0.87793;2.133296;9.685416;-0.973627;4.073707;8.867208;0.759622;-0.628488;-0.687536;4.7;80.9866;-5.2666;0.0;31.5155;11.0535;-45.9076;310.8544;-22.6317;-0.1973;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;197;2017-10-03 21:16:55:071
0.87793;2.133296;9.685416;-0.973627;4.073707;8.867208;0.759622;-0.628488;-0.687536;4.7;80.9866;-5.2666;0.0;31.7429;10.8719;-45.7367;318.6617;-24.5447;6.266;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;206;2017-10-03 21:16:55:080
0.87793;2.133296;9.685416;-0.973627;4.073707;8.867208;0.759622;-0.628488;-0.687536;4.7;80.9866;-5.2666;0.0;31.7429;10.8719;-45.7367;318.6617;-24.5447;6.266;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;217;2017-10-03 21:16:55:091
0.87793;2.133296;9.685416;-0.973627;4.073707;8.867208;0.759622;-0.628488;-0.687536;4.7;80.9866;-5.2666;0.0;31.7429;10.8719;-45.7367;318.6617;-24.5447;6.266;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;227;2017-10-03 21:16:55:101
0.227082;1.804286;8.439948;-0.973627;4.073707;8.867208;0.759622;-0.628488;-0.687536;4.7;80.9866;-5.2666;0.0;31.7429;10.8719;-45.7367;318.6617;-24.5447;6.266;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;236;2017-10-03 21:16:55:110
0.227082;1.804286;8.439948;-0.973627;4.073707;8.867208;0.759622;-0.628488;-0.687536;4.7;80.9866;-5.2666;0.0;31.7429;10.8719;-45.7367;318.6617;-24.5447;6.266;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;246;2017-10-03 21:16:55:120
0.227082;1.804286;8.439948;-1.320007;4.345773;8.691504;0.465503;0.06559;0.304091;30.8161;42.498;3.8162;0.0;31.7429;10.8719;-45.7367;318.6617;-24.5447;6.266;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;257;2017-10-03 21:16:55:131
0.227082;1.804286;8.439948;-1.320007;4.345773;8.691504;0.465503;0.06559;0.304091;30.8161;42.498;3.8162;0.0;31.7429;10.8719;-45.7367;318.6617;-24.5447;6.266;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;266;2017-10-03 21:16:55:140
-0.538619;2.141673;9.255912;-1.320007;4.345773;8.691504;0.465503;0.06559;0.304091;30.8161;42.498;3.8162;0.0;32.0236;10.5896;-45.4437;321.8777;-26.3048;8.6357;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;277;2017-10-03 21:16:55:151
-0.538619;2.141673;9.255912;-1.320007;4.345773;8.691504;0.465503;0.06559;0.304091;30.8161;42.498;3.8162;0.0;32.0236;10.5896;-45.4437;321.8777;-26.3048;8.6357;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;287;2017-10-03 21:16:55:161
-0.538619;2.141673;9.255912;-1.320007;4.345773;8.691504;0.465503;0.06559;0.304091;30.8161;42.498;3.8162;0.0;32.0236;10.5896;-45.4437;321.8777;-26.3048;8.6357;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;296;2017-10-03 21:16:55:170
-0.538619;2.141673;9.255912;-1.320007;4.345773;8.691504;0.465503;0.06559;0.304091;30.8161;42.498;3.8162;0.0;32.0236;10.5896;-45.4437;321.8777;-26.3048;8.6357;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;306;2017-10-03 21:16:55:180
-0.905914;2.812862;9.324104;-1.67132;4.608152;8.493646;-0.073654;-0.357737;0.149218;29.7136;46.3185;9.9762;0.0;32.0236;10.5896;-45.4437;321.8777;-26.3048;8.6357;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;316;2017-10-03 21:16:55:190
-0.905914;2.812862;9.324104;-1.67132;4.608152;8.493646;-0.073654;-0.357737;0.149218;29.7136;46.3185;9.9762;0.0;32.0236;10.5896;-45.4437;321.8777;-26.3048;8.6357;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;327;2017-10-03 21:16:55:201
-0.905914;2.812862;9.324104;-1.67132;4.608152;8.493646;-0.073654;-0.357737;0.149218;29.7136;46.3185;9.9762;0.0;32.2296;10.3195;-45.1767;325.0375;-28.0278;11.132;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;339;2017-10-03 21:16:55:213
-0.533828;1.462108;6.159599;-1.67132;4.608152;8.493646;-0.073654;-0.357737;0.149218;29.7136;46.3185;9.9762;0.0;32.2296;10.3195;-45.1767;325.0375;-28.0278;11.132;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;346;2017-10-03 21:16:55:220
-0.533828;1.462108;6.159599;-1.67132;4.608152;8.493646;-0.073654;-0.357737;0.149218;29.7136;46.3185;9.9762;0.0;32.2296;10.3195;-45.1767;325.0375;-28.0278;11.132;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;357;2017-10-03 21:16:55:231
-0.533828;1.462108;6.159599;-1.856477;4.967802;8.248928;-0.411741;-0.23636;-0.665956;43.1948;21.3574;0.3156;0.0;32.2296;10.3195;-45.1767;325.0375;-28.0278;11.132;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;366;2017-10-03 21:16:55:240
-0.533828;1.462108;6.159599;-1.856477;4.967802;8.248928;-0.411741;-0.23636;-0.665956;43.1948;21.3574;0.3156;0.0;32.2296;10.3195;-45.1767;325.0375;-28.0278;11.132;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;376;2017-10-03 21:16:55:250
-0.817382;3.339275;9.747626;-1.856477;4.967802;8.248928;-0.411741;-0.23636;-0.665956;43.1948;21.3574;0.3156;0.0;32.2296;10.3195;-45.1767;325.0375;-28.0278;11.132;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;387;2017-10-03 21:16:55:261
-0.817382;3.339275;9.747626;-1.856477;4.967802;8.248928;-0.411741;-0.23636;-0.665956;43.1948;21.3574;0.3156;0.0;32.2296;10.3195;-45.1767;325.0375;-28.0278;11.132;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;396;2017-10-03 21:16:55:270
-0.817382;3.339275;9.747626;-1.856477;4.967802;8.248928;-0.411741;-0.23636;-0.665956;43.1948;21.3574;0.3156;0.0;32.515;9.9945;-44.8364;327.1298;-30.4359;12.6835;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;407;2017-10-03 21:16:55:281
-0.817382;3.339275;9.747626;-1.856477;4.967802;8.248928;-0.411741;-0.23636;-0.665956;43.1948;21.3574;0.3156;0.0;32.515;9.9945;-44.8364;327.1298;-30.4359;12.6835;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;416;2017-10-03 21:16:55:290
-1.019576;4.596706;10.104164;-2.079483;5.011614;8.168835;-0.112769;0.978479;1.054453;6.0482;24.7705;-5.0157;0.0;32.515;9.9945;-44.8364;327.1298;-30.4359;12.6835;5.0;61.01558;12.847223;77.66102;;NaN;;926.0;;0 / 0;426;2017-10-03 21:16:55:300
